T(K),j_total,j_sum,c_melt,c_heat,l_heat,l_mix
176.5,59.234161514019824,59.234161514019824,2.0140975498832923,0.9332850130935266,56.2750170956809,0.01176185536210483
177.5,83.1538743907841,83.15387439078411,2.0729210256762136,0.9138343494070716,80.15512240856403,0.011996607136787664
178.5,95.74064473400416,95.74064473400416,2.1337069209361936,0.8938911208147238,92.70080166648923,0.012245025764023013
179.5,91.79171783932532,91.79171783932533,2.1965393780186906,0.8734378679810842,88.7092329710633,0.012507622262243188
180.5,75.79259814351241,75.79259814351241,2.2615078821284054,0.8524780201570737,72.66582727661456,0.012784964612369618
181.5,52.7981615576572,52.7981615576572,2.3287075851195245,0.830991093251365,49.62538519928951,0.013077679996805041
182.5,29.56395738709777,29.56395738709777,2.3982396633968746,0.8089357982515828,26.343395467882868,0.013386457566442831
183.5,16.340681943166373,16.340681943166373,2.470211712116914,0.7862922108172545,13.070465968487307,0.013712051744898018
184.5,13.300115024351703,13.300115024351705,2.5447381782718623,0.7630396678667147,9.978281892125203,0.014055286087923944
185.5,13.037420382355602,13.037420382355602,2.6219408357693488,0.7391567102378651,9.661905778622472,0.014417057725916905
186.5,13.106893942385863,13.106893942385863,2.7019493059365582,0.7146210224746533,9.675525271550049,0.01479834242460328
187.5,13.224253344876663,13.224253344876663,2.784901627499751,0.6894093693390567,9.734742147728312,0.01520020030954391
188.5,13.350086098725322,13.350086098725322,2.8709448805879507,0.6634975286284176,9.80001990719992,0.015623782309034686
189.5,13.492213153161423,13.492213153161423,2.9602358698533924,0.6368602198532638,9.87904672607513,0.016070337379638273
190.5,13.653576723874364,13.653576723874364,3.0529418725141793,0.6094860416812424,9.974607589088679,0.01654122059026397
191.5,13.819399735729334,13.819399735729334,3.149241457875445,0.5813450858813766,10.071775289819476,0.017037902153036834
192.5,13.985924382782677,13.985924382782677,3.249325385576397,0.5523925835570314,10.166644436147859,0.017561977501390935
193.5,14.163164208158436,14.163164208158436,3.353397590896735,0.5225981267998889,10.269053311928989,0.01811517853282472
194.5,14.325756518193296,14.325756518193296,3.4616762663410707,0.4919298079584757,10.353451057744483,0.018699386149266577
195.5,14.470042705125309,14.470042705125307,3.5743950499558954,0.4603541117385581,10.415976899182612,0.019316644248241744
196.5,14.619417118261092,14.619417118261092,3.6918043321701006,0.42783579882636363,10.47980781192426,0.01996917534036735
197.5,14.778696227092174,14.778696227092174,3.8141726943495793,0.3943377801574469,10.549526354592116,0.02065939799303317
198.5,14.961776226639747,14.961776226639746,3.9417884940849635,0.35982098086072645,10.638776805363413,0.021389946330642694
199.5,15.18006376030711,15.180063760307112,4.074961614032645,0.3242441928015125,10.7586942616191,0.022163691853852776
200.5,15.414385795191489,15.414385795191489,4.214025393476447,0.2875705921089414,10.889806041725674,0.022983767880425526
201.5,15.652824098280545,15.652824098280545,4.3593387641425405,0.24975149778156533,11.019880239403129,0.023853596953309828
202.5,15.886458314928923,15.886458314928923,4.511288614837658,0.21073060460716936,11.139662173869029,0.024776921615068757
203.5,16.09817109843979,16.09817109843979,4.670292412658828,0.17045629979516502,11.231664546979388,0.025757839006407122
204.5,16.2966781091367,16.2966781091367,4.836801112404098,0.1288738741155078,11.304202282799583,0.026800839817511492
205.5,16.473513997115973,16.473513997115973,5.011302390120434,0.08592527488393659,11.348375479909967,0.027910852201634338
